1. Побег из Шоушенка,82
2. Крестный отец,100
3. Тёмный рыцарь,85
4. Список Шиндлера,95
5. Властелин колец: Возвращение короля,94
6. 12 разгневанных мужчин,97
7. Крестный отец 2,90
8. Властелин колец: Братство кольца,92
9. Начало,74
10. Криминальное чтиво,95
11. Бойцовский клуб,67
12. Форрест Гамп,82
13. Властелин колец: Две крепости,87
14. Хороший, плохой, злой,90
15. Интерстеллар,74
16. Матрица,73
17. Славные парни,92
19. Звёздные войны: Эпизод 5 - Империя наносит ответный удар,82
20. Молчание ягнят,86
21. Семь,65
22. Зелёная миля,61
23. Город Бога,79
24. Жизнь прекрасна,58
25. Спасти рядового Райана,91
26. Терминатор 2: Судный день,75
27. Пролетая над гнездом кукушки,84
28. Унесённые призраками,96
29. Звёздные войны,90
30. Эта замечательная жизнь,89
31. Семь самураев,98
32. Харакири,85
33. Паразиты,97
34. Престиж,66
35. Джанго освобождённый,81
36. Отступники,85
37. Одержимость,89
38. Подозрительные лица,76
39. Гладиатор,67
40. Человек-паук: Паутина вселенных,86
41. Назад в будущее,88
42. Леон,64
43. 1+1,57
44. Пианист,85
45. Американская история Икс,62
46. Чужой,89
47. Касабланка,100
48. Король лев,88
49. Могила светлячков,94
50. Новый кинотеатр «Парадизо»,80
51. Психо,97
52. Однажды на Диком Западе,82
53. Окно во двор,100
54. Новые времена,96
55. Огни большого города,99
56. Бесславные ублюдки,69
57. Дюна: Часть вторая,79
58. Сияние,68
59. Помни,83
60. Мстители: Финал,78
61. Тёмный рыцарь: Возрождение легенды,78
62. Мстители: Война бесконечности,68
63. Человек-паук: Через Вселенные,87
64. Апокалипсис сегодня,94
65. Индиана Джонс: В поисках утраченного ковчега,86
66. Твоё имя,81
67. Жизнь других,89
68. Тайна Коко,81
69. Амадей,87
70. Чужие,84
71. ВАЛЛ·И,95
72. Три идиота,67
73. Капернаум,75
74. Подводная лодка,85
75. Сансет бульвар,94
76. Тропы славы,90
77. Рай и ад,90
78. Свидетель обвинения,76
80. Умница Уилл Хантинг,71
81. Олдбой,78
82. Вечное сияние чистого разума,89
83. Храброе сердце,68
84. Реквием по мечте,71
85. Охота,77
86. Пожары,80
87. Красота по-американски,84
89. 2001 год: Космическая одиссея,84
90. Джокер,59
91. История игрушек,96
92. Однажды в Америке,75
93. Принцесса Мононоке,78
94. Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу,97
95. Звёздные войны: Эпизод 6 - Возвращение Джедая,58
96. Лоуренс Аравийский,100
97. История игрушек: Большой побег,92
98. Квартира,94
99. Поющие под дождем,99
100. Жить,92
